"ate","rmse_ate"
2321.73615025022,527.396150250217
-1275.69604548075,3070.03604548075
4284.74003199769,2490.40003199769
895.176203525865,899.163796474135
-198.0795157471,1992.4195157471
1630.69545666457,163.644543335425
742.527241729324,1051.81275827068
2332.06106405071,537.721064050711
2158.98264616924,364.642646169237
3728.50155288294,1934.16155288294
-1667.226484181,3461.566484181
1169.81875940754,624.521240592457
4511.55102540816,2717.21102540816
1225.99949421097,568.340505789034
1286.35731035221,507.982689647789
-1564.79956486474,3359.13956486474
-2505.20382725838,4299.54382725838
2442.2086280375,647.868628037498
117.523736969761,1676.81626303024
1495.70730999135,298.632690008652
1149.75327031627,644.586729683734
-2004.35204736709,3798.69204736709
-90.3534694466528,1884.69346944665
587.658364572204,1206.6816354278
-924.602421790994,2718.94242179099
129.651457564462,1664.68854243554
-435.908777381724,2230.24877738172
1136.41770604114,657.922293958859
2195.6490677408,401.309067740802
1725.15284255593,69.1871574440656
1759.27120976606,35.0687902339384
229.030108282194,1565.30989171781
2728.29794026122,933.957940261218
-418.251748044646,2212.59174804465
-93.6819917245531,1888.02199172455
-660.928156190301,2455.2681561903
430.876790884821,1363.46320911518
3282.83656531096,1488.49656531096
1355.20474119115,439.135258808852
-2661.15600231119,4455.49600231119
-2228.46139710252,4022.80139710252
-881.657941554303,2675.9979415543
1302.8588157806,491.481184219401
-1130.59134197693,2924.93134197693
825.974017252615,968.365982747385
3242.61591884457,1448.27591884457
405.565443736451,1388.77455626355
500.975889271558,1293.36411072844
805.710411287645,988.629588712355
-751.516598560832,2545.85659856083
