estimator,mean,std,lower,upper
ATE_true,-13346.999316539652,256.0925091407206,-13848.940634455465,-12845.057998623839
ATE_AIPW_baseline,1359.2199309641326,2134.296078197751,-2824.0003823034585,5542.440244231724
ATE_IPTW,-13478.333514200878,1770.9451221454283,-16949.385953605917,-10007.28107479584
ATE_AIPW,-13483.552824581047,1771.304075611103,-16955.30881277881,-10011.796836383286
ATE_IPTW_nomask,-13685.828967140023,1722.285915246863,-17061.509361023876,-10310.148573256172
ATE_AIPW_nomask,-13691.06680763474,1722.6541712450526,-17067.46898327504,-10314.664631994436
kNN,-14260.45931653965,1224.24,-16659.96971653965,-11860.948916539652
LogisticRegression,-15474.489316539652,1478.04,-18371.447716539653,-12577.530916539652
