estimator,mean,std,lower,upper
ATE_true,-7028.249252527546,63.42865741252755,-7152.5694210561,-6903.929083998992
ATE_AIPW_baseline,-795.5857147308835,5759.501729625568,-12084.209104796997,10493.03767533523
ATE_IPTW,-9109.362581254589,1616.0632360713576,-12276.84652395445,-5941.878638554728
ATE_AIPW,-9110.661110739758,1614.8990951468313,-12275.863337227547,-5945.45888425197
ATE_IPTW_nomask,-9166.48604005699,1362.251916801947,-11836.499796988806,-6496.472283125175
ATE_AIPW_nomask,-9167.733997253898,1361.3171155117366,-11835.915543656902,-6499.552450850893
DecisionTree,-8719.649252527546,1314.97,-11296.990452527545,-6142.308052527546
LogisticRegression,-9636.109252527545,2255.57,-14057.026452527545,-5215.1920525275455
