Method,Mean_ATE,se_ATE,CI_Lower,CI_Upper,Mean_RNMSE,se_RNMSE
IPW (Naive),4.71095048334218,0.461078114836424,1.81488220476613,6.2050180752335,5.47251545740707,1.42110405500341
IPW (GRF),4.92389951853071,1.22167991867964,1.05700398546269,12.9824378886151,4.73861142152284,1.35888296627454
IPW (VT),-0.0200195004800208,1.193686639772652,-1.05858980734345,2.188385407763378,2.242252087608512,0.6499048957075532
IPW (Ours),-0.0252649993062159,1.1943473852794215,-1.0307335242311957,2.189496727084728,2.2414328895261737,0.6497742770951752
AIPW (GRF),3.8429959865752,0.354364285047378,1.71413298822238,5.10507502558026,0.919513910081737,0.0817548703162157
AIPW (VT),0.5218304475350417,0.4722374036180681,-0.2769704289092278,1.7338070805152757,1.4073827543256467,0.2696331365519032
AIPW (Ours),0.3208252108105318,0.4257376178371931,-0.1613468431868537,0.6781446327809146,1.411457934918137,0.2680017259727179
